Process1,Cnt,Week,Amount,Process2,Cnt,Week,Amount,Process3,Cnt,Week,Amount,Process4,Cnt,Week,Amount,Process5,Cnt,Week,Amount
Source,AUSTRIA,1,6859.19,Conditioning,AUSTRIA,1,6859.19,Treatment,SLOVENIA,4,6859.19,Forwarding,SLOVENIA,8,6859.19,Delivery,HUNGARY,8,6859.19
Source,AUSTRIA,1,6859.19,Conditioning,AUSTRIA,2,6859.19,Treatment,SLOVENIA,4,6859.19,Forwarding,SLOVENIA,8,6859.19,Delivery,HUNGARY,8,6859.19
Source,AUSTRIA,1,6859.19,Conditioning,AUSTRIA,1,6859.19,Treatment,SLOVENIA,5,6859.19,Forwarding,SLOVENIA,8,6859.19,Delivery,HUNGARY,8,6859.19
Source,AUSTRIA,1,6859.19,Conditioning,AUSTRIA,2,6859.19,Treatment,SLOVENIA,5,6859.19,Forwarding,SLOVENIA,8,6859.19,Delivery,HUNGARY,8,6859.19
Source,HUNGARY,1,300.0,Conditioning,HUNGARY,1,300.0,Treatment,ROMANIA,4,300.0,Forwarding,ROMANIA,8,300.0,Delivery,ROMANIA,8,300.0
Source,AUSTRIA,1,1000.0,Conditioning,AUSTRIA,1,1000.0,Treatment,SLOVENIA,4,1000.0,Forwarding,FRANCE,8,1000.0,Delivery,MOLDOVA,13,1000.0
Source,AUSTRIA,1,1000.0,Conditioning,AUSTRIA,2,1000.0,Treatment,SLOVENIA,4,1000.0,Forwarding,FRANCE,8,1000.0,Delivery,MOLDOVA,13,1000.0
Source,AUSTRIA,1,1000.0,Conditioning,AUSTRIA,1,1000.0,Treatment,SLOVENIA,5,1000.0,Forwarding,FRANCE,8,1000.0,Delivery,MOLDOVA,13,1000.0
Source,AUSTRIA,1,1000.0,Conditioning,AUSTRIA,2,1000.0,Treatment,SLOVENIA,5,1000.0,Forwarding,FRANCE,8,1000.0,Delivery,MOLDOVA,13,1000.0
Source,AUSTRIA,1,1000.0,Conditioning,AUSTRIA,1,1000.0,Treatment,SLOVENIA,4,1000.0,Forwarding,FRANCE,9,1000.0,Delivery,MOLDOVA,13,1000.0
Source,AUSTRIA,1,1000.0,Conditioning,AUSTRIA,2,1000.0,Treatment,SLOVENIA,4,1000.0,Forwarding,FRANCE,9,1000.0,Delivery,MOLDOVA,13,1000.0
